lang,food_name,canonical_name,calorie_range,macros,food_items,judgement_tags,dish_summary,suggestion,is_beverage,is_food,is_active,beverage_base_ml,beverage_full_sugar_carbs,beverage_default_sugar_ratio,beverage_sugar_adjustable,beverage_profile,source,verified_level,image_url,thumb_url,image_source,image_license,reference_used
zh-TW,舒肥雞胸沙拉,舒肥雞胸沙拉,280-360 kcal,"{""carbs"":18,""sodium"":620,""protein"":30,""fat"":12}","[""protein"",""vegetables"",""fiber""]","[""high_protein"",""light_meal""]",Convenience high-protein salad box.,Add one fruit or whole-grain item when used as a main meal.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,鮪魚玉米飯糰,鮪魚玉米飯糰,220-300 kcal,"{""carbs"":36,""sodium"":520,""protein"":8,""fat"":6}","[""rice"",""tuna"",""corn""]","[""quick_meal""]",Convenience rice ball with tuna and corn.,Pair with tea egg or salad to improve protein and fiber.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,鮭魚飯糰,鮭魚飯糰,210-290 kcal,"{""carbs"":34,""sodium"":540,""protein"":9,""fat"":6}","[""rice"",""salmon""]","[""quick_meal""]",Convenience salmon rice ball.,Pair with unsweetened soy milk or chicken pack for better satiety.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,煙燻雞三明治,煙燻雞三明治,300-420 kcal,"{""carbs"":36,""sodium"":760,""protein"":16,""fat"":12}","[""bread"",""chicken"",""vegetables""]","[""balanced""]",Smoked chicken sandwich from convenience store.,Consider low-sodium sides and water to balance sodium intake.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,全麥蛋沙拉三明治,全麥蛋沙拉三明治,320-430 kcal,"{""carbs"":34,""sodium"":700,""protein"":14,""fat"":14}","[""whole_wheat_bread"",""egg"",""vegetables""]","[""balanced""]",Whole-wheat egg salad sandwich.,Pair with plain yogurt for additional protein.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,烤雞腿便當,烤雞腿便當,560-720 kcal,"{""carbs"":72,""sodium"":980,""protein"":28,""fat"":22}","[""rice"",""chicken"",""vegetables""]","[""main_meal""]",Convenience roasted chicken bento.,Use half rice if daily calories are tight.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,茶葉蛋2顆,茶葉蛋2顆,120-170 kcal,"{""carbs"":2,""sodium"":320,""protein"":12,""fat"":9}","[""egg""]","[""high_protein_snack""]",Two tea eggs.,Good side dish for rice ball or salad meals.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,無糖優格杯,無糖優格杯,90-150 kcal,"{""carbs"":8,""sodium"":70,""protein"":8,""fat"":4}","[""yogurt""]","[""light_snack""]",Plain yogurt cup.,Add nuts or fruit if extra calories are needed.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,毛豆杯,毛豆杯,110-170 kcal,"{""carbs"":10,""sodium"":220,""protein"":11,""fat"":6}","[""edamame""]","[""high_protein_snack""]",Small edamame cup.,Useful as high-protein snack between meals.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
zh-TW,綜合生菜沙拉,綜合生菜沙拉,80-180 kcal,"{""carbs"":9,""sodium"":260,""protein"":4,""fat"":8}","[""vegetables"",""dressing""]","[""fiber_boost""]",Mixed green salad.,Pair with protein item to make a complete meal.,false,true,true,,,,,{},tw_convenience_seed,2,,,,,catalog
